director,number_of_title,vote_average
Brian G. Hutton,2,6.800000000000001
Brian Gibson,4,6.5
Brian Gilbert,4,5.8
Brian Goodman,1,7.0
Brian Helgeland,4,6.2
Brian Henson,4,6.5249999999999995
Brian Herzlinger,1,4.8
Brian Horiuchi,1,4.8
Brian James O'Connell,1,5.5
Brian King,1,5.3
Brian Klugman|Lee Sternthal,1,6.3
Brian Knappenberger,2,7.25
Brian Koppelman|David Levien,2,5.7
Brian Larsen,1,5.7
Brian Levant,10,5.23
Brian Miller,1,4.0
Brian Mills,1,5.6
Brian O'Malley,1,5.4
Brian Percival,1,7.3
Brian Pimental,1,5.9
Brian Robbins,9,5.333333333333333
Brian Smith,1,5.9
Brian Smrz,1,5.2
Brian Spitz,1,5.3
Brian Taylor|Mark Neveldine,1,6.5
Brian Trenchard-Smith,8,5.0375
Brian W. Cook,1,5.8
Brian Yuzna,4,5.5
Brin Hill,1,7.2
Bronwen Hughes,2,5.35
Bruce A. Evans,2,6.1
Bruce Beresford,9,6.144444444444444
Bruce Brown,1,7.4
Bruce Campbell,2,5.45
Bruce D. Clark,1,5.1
Bruce Gowers,1,7.3
Bruce Hendricks,2,6.45
Bruce Hunt,1,5.2
Bruce Joel Rubin,1,5.9
Bruce LaBruce,2,5.55
Bruce MacDonald,1,4.5
Bruce Malmuth,2,6.0
Bruce McCulloch,2,4.449999999999999
Bruce McDonald,3,5.3
Bruce Paltrow,1,5.3
Bruce Pittman,1,6.2
Bruce Robinson,4,6.050000000000001
Bruce Timm,1,7.6
Bruce Timm|Eric Radomski,1,7.2
Bruno Barreto,3,6.566666666666666
Bruno Chiche,1,6.3
Bruno Mattei|Claudio Fragasso,1,4.4
Bruno Solo|Yvan Le Bolloc'h,1,4.5
Bryan Barber,1,5.5
Bryan Bertino,2,5.0
Bryan Bockbrader,1,4.0
Bryan Carberry|J. Clay Tweel,1,5.7
Bryan Forbes,2,6.45
Bryan Gordon,1,6.2
Bryan Ortiz|Bryan Ramirez|Kerry Valderrama,1,4.3
Bryan Singer,7,6.614285714285715
Bryan Spicer,3,5.266666666666667
Bryce Wagoner,1,5.1
Bud Luckey|Roger Gould,1,7.0
Bud Smith ,1,4.3
Bud Yorkin,1,4.8
Budd Boetticher,1,6.5
Buddy Giovinazzo|Douglas Buck|David Gregory|Karim Hussain|Tom Savini|Richard Stanley,1,5.8
Buddy Van Horn,3,5.8
Burny Mattinson,1,7.4
Burr Steers,3,6.433333333333334
Burt Kennedy,6,6.033333333333334
Burt Reynolds,1,5.9
Butch Lukic,2,5.949999999999999
Buzz Kulik,2,6.5
Byron Haskin,1,6.4
Byung-chun Min,1,4.9
