cast,number_of_title,vote_average
Brian Anthony Wilson,1,6.1
Brian Armstrong,1,6.6
Brian Austin Green,1,6.5
Brian Boland,1,6.4
Brian Cox,2,6.35
Brian Dennehy,3,4.966666666666668
Brian Elder,1,6.1
Brian Flaherty,1,4.9
Brian George,1,6.5
Brian Geraghty,1,6.4
Brian J. Smith,2,6.55
Brian J. White,2,6.0
Brian Krause,1,6.4
Brian Morvant,1,5.1
Brian Steele,1,7.2
Brian Taylor,1,7.1
Brian Van Holt,1,5.9
Brian Wimmer,1,5.5
Briana Buckmaster,1,6.5
Briana Evigan,5,6.18
Brianne Davis,2,5.65
Bridget Moynahan,2,5.45
Brie Gabrielle,1,6.5
Brie Larson,5,6.279999999999999
Brigitte Millar,1,2.4
Brigitte Nielsen,1,4.9
Brit Marling,2,5.699999999999999
Brit Shaw,1,4.2
Britt Irvin,2,5.9
Britt Lower,1,6.7
Britt McKillip,1,5.9
Britt Robertson,4,6.925000000000001
Brittany Allen,1,6.0
Brittany Curran,2,6.15
Brittany Daniel,2,6.85
Brittany McDonald,1,6.0
Brittany Murphy,4,6.824999999999999
Brittany Snow,2,6.050000000000001
Brittany Underwood,2,6.699999999999999
Brittany Uomoleale,1,5.4
Brooke Adams,1,6.6
Brooke Burns,1,5.9
Brooke Butler,1,6.1
Brooke Nevin,1,5.9
Brooke Shields,1,6.1
Brooke Smith,1,6.0
Brooklyn Decker,2,6.6
Brooklyn Sudano,1,5.6
Bruce A. Young,1,6.0
Bruce Altman,1,6.5
Bruce Blain,1,7.2
Bruce Boxleitner,1,5.9
Bruce Bu Lu-Si,1,7.1
Bruce Campbell,1,6.3
Bruce Davison,1,3.9
Bruce Dern,3,4.766666666666667
Bruce Dickinson,1,7.7
Bruce Greenwood,6,6.316666666666666
Bruce McGill,4,5.85
Bruce Payne,2,5.85
Bruce Spence,1,4.3
Bruce Springsteen,1,5.1
Bruce Willis,7,5.914285714285714
Bruno Bilotta,1,5.7
Bruno Campos,1,6.5
Bruno Cremer,1,6.8
Bruno Ganz,1,6.4
Bryan Batt,1,5.6
